gid,lon,lat,overlap_class,E_high,P_high,adjusted_ch4,index_ch4,density_land_area,coast_distance_km,land_fraction
37.05_118.75,118.75,37.05,Neither,False,False,1.8327993378236385,0.4838384932573789,0.0,32.30579763845349,1.0
37.05_118.85,118.85,37.05,Neither,False,False,1.6376833524731111,0.4305239338920161,0.0,26.99899034550413,1.0
37.05_118.95,118.95,37.05,Neither,False,False,1.352916727369178,0.4707620982221518,0.0,21.96647203855901,1.0
37.05_119.05,119.05,37.05,Neither,False,False,0.3738119767056191,0.5601002683793942,0.0,16.632690362301457,1.0
37.05_119.15,119.15,37.05,EDGAR only,True,False,0.9735832960441312,1.4322337970345511,0.0,14.35010674011088,1.0
37.05_119.25,119.25,37.05,EDGAR only,True,False,-0.1054037575789241,1.4021616739789868,0.0202673114136386,10.251482614137666,1.0
37.05_119.35,119.35,37.05,Neither,False,False,1.19187349379617,-0.5590312429771932,0.0608019342409159,11.185000873842894,1.0
37.05_119.45,119.45,37.05,Neither,False,False,-0.8238211896127288,-0.7006445727117724,0.0,7.89216334569939,1.0
37.05_119.55,119.55,37.05,Neither,False,False,-1.6422206371973362,-0.7006445727117724,0.0,9.803397225031675,1.0
37.05_119.65,119.65,37.05,Neither,False,False,4.507867191750851,-0.7006445727117724,0.0,9.797439171349575,1.0
37.05_119.75,119.75,37.05,Neither,False,False,4.216709429901981,0.065106990594037,0.0,10.606964121298976,1.0
37.05_119.85,119.85,37.05,Neither,False,False,0.8307579042612049,-0.4310954890382364,0.0,13.323003947537602,1.0
37.05_119.95,119.95,37.05,Neither,False,False,1.081811242735573,-0.7006445727117724,0.0,19.456316238624492,1.0
37.15_117.85,117.85,37.15,Neither,False,False,-1.0557142312231584,-0.7006445727117724,0.8422043854753984,99.0970638807672,1.0
37.15_117.95,117.95,37.15,Neither,False,False,-3.02094552655146,0.1886920808225292,1.877202545939141,90.49689298499791,1.0
37.15_118.05,118.05,37.15,Neither,False,False,-1.5048217711381149,-0.7006445727117724,0.4058816315544089,81.93112301739563,1.0
37.15_118.15,118.15,37.15,Neither,False,False,-0.3060652894523448,-0.7006445727117724,0.2435289789326453,73.31232026990264,1.0
37.15_118.25,118.25,37.15,Neither,False,False,-1.4286604218807102,-0.7006445727117724,0.0,64.74605129014803,1.0
37.15_118.35,118.35,37.15,Pumpjack only,False,True,-0.3773258672038572,-0.7006445727117724,2.2120548919715284,56.25631948341833,1.0
37.15_118.45,118.45,37.15,Pumpjack only,False,True,1.0885531175379148,-0.5334548540302002,2.3033782590712706,47.8838519317174,1.0
37.15_118.55,118.55,37.15,Neither,False,False,1.1658540558864527,0.775577309010347,0.547940202598452,39.70290341601087,1.0
37.15_118.65,118.65,37.15,Neither,False,False,1.3147511622343258,0.3518515226565727,1.1060274459857642,31.86134450000016,1.0
37.15_118.75,118.75,37.15,Neither,False,False,1.1902416500312103,-0.7006445727117724,0.6798517328536349,24.41097683604736,1.0
37.15_118.85,118.85,37.15,Neither,False,False,2.4227734242222114,0.0083939426598285,0.0,18.11096268788595,1.0
37.15_118.95,118.95,37.15,Neither,False,False,-3.4773408577102973,1.3365736258117058,0.0,12.894273156960844,1.0
37.15_119.05,119.05,37.15,EDGAR only,True,False,0.4664674652938504,1.4522861560228844,0.0,8.0748112232788,1.0
37.15_119.15,119.15,37.15,Neither,False,False,-6.181334326034035,1.1190881197910167,0.0,3.2368609044915293,0.8124235113919905
37.15_119.25,119.25,37.15,Neither,False,False,-17.175582373175644,-0.7003171888843874,0.0,3.5652153511599054,0.4843801966987652
37.15_119.35,119.35,37.15,Neither,False,False,-20.447206822397582,-0.7006445727117724,0.0,5.7203242268289065,0.3051681777499206
37.15_119.45,119.45,37.15,Neither,False,False,-22.289480243608253,-0.7006445727117724,0.0,2.8911705712110214,0.2722564897583625
37.15_119.55,119.55,37.15,Neither,False,False,-22.64248442803133,-0.7006445727117724,0.0,1.499385942821092,0.395644629852023
37.15_119.65,119.65,37.15,Neither,False,False,-11.539824779262888,-0.7006445727117724,0.0,1.6735885131338937,0.3903063110964853
37.15_119.75,119.75,37.15,Neither,False,False,-1.5400828058416445,-0.7006445727117724,0.0,1.8271699248350213,0.5340556623775415
