gid,lon,lat,total_area_km2,land_area_km2,land_fraction,n_pumpjacks_raw,n_pumpjacks_unique,density_total_area,density_land_area
37.45_119.35,119.35,37.45,98.15858604741604,0.0,0.0,0,0,0.0,
37.45_119.45,119.45,37.45,98.15858604741604,0.0,0.0,0,0,0.0,
37.45_119.55,119.55,37.45,98.15858604741604,0.0,0.0,0,0,0.0,
37.45_119.65,119.65,37.45,98.15858604741604,0.0,0.0,0,0,0.0,
37.45_119.75,119.75,37.45,98.15858604741604,0.0,0.0,0,0,0.0,
37.45_119.85,119.85,37.45,98.15858604741604,0.0,0.0,0,0,0.0,
37.45_119.95,119.95,37.45,98.15858604741604,3.907091438770294,0.0398038683736026,0,0,0.0,0.0
37.55_117.85,117.85,37.55,98.02721624997304,98.02721624997304,1.0,0,0,0.0,0.0
37.55_117.95,117.95,37.55,98.02721624997304,98.02721624997304,1.0,0,0,0.0,0.0
37.55_118.05,118.05,37.55,98.02721624997304,98.02721624997304,1.0,0,0,0.0,0.0
37.55_118.15,118.15,37.55,98.02721624997304,98.02721624997304,1.0,150,148,1.5097847889773237,1.5097847889773237
37.55_118.25,118.25,37.55,98.02721624997304,98.02721624997304,1.0,103,101,1.0303261059912816,1.0303261059912816
37.55_118.35,118.35,37.55,98.02721624997304,98.02721624997304,1.0,285,280,2.856349600767909,2.856349600767909
37.55_118.45,118.45,37.55,98.02721624997304,98.02721624997304,1.0,125,125,1.275156071771388,1.275156071771388
37.55_118.55,118.55,37.55,98.02721624997304,98.02721624997304,1.0,64,63,0.6426786601727796,0.6426786601727796
37.55_118.65,118.65,37.55,98.02721624997304,98.02721624997304,1.0,18,18,0.1836224743350799,0.1836224743350799
37.55_118.75,118.75,37.55,98.02721624997304,98.02721624997304,1.0,96,96,0.979319863120426,0.979319863120426
37.55_118.85,118.85,37.55,98.02721624997304,98.02721624997304,1.0,0,0,0.0,0.0
37.55_118.95,118.95,37.55,98.02721624997304,61.51440345495939,0.6275237205358906,0,0,0.0,0.0
37.55_119.05,119.05,37.55,98.02721624997304,0.0,0.0,0,0,0.0,
37.55_119.15,119.15,37.55,98.02721624997304,0.0,0.0,0,0,0.0,
