gid,lon,lat,priority_class,evidence_type,evidence_count,E_high,P_high,A_high,land_area_km2,density_land_area,adjusted_ch4,index_ch4,coast_distance_km
37.35_119.15,119.15,37.35,Reference,,0,False,False,False,0.0,,-0.1001985844878419,-0.4640688665156144,14.730425854643771
37.35_119.25,119.25,37.35,Reference,,0,False,False,False,0.0,,-0.8209546878377761,0.0340917847659512,20.402498573323165
37.35_119.35,119.35,37.35,Priority 4,A,1,False,False,True,0.0,,0.540989768701639,-0.3824769319818109,24.32049306006008
37.35_119.45,119.45,37.35,Priority 4,A,1,False,False,True,0.0,,0.7906300784827839,-0.7000401988199948,24.225797246237487
37.35_119.55,119.55,37.35,Reference,,0,False,False,False,0.0,,-0.913531822506508,-0.7005356406318,23.208280452691994
37.35_119.65,119.65,37.35,Priority 4,A,1,False,False,True,0.0,,1.0057152712928783,-0.7006445727117724,17.31433028098766
37.35_119.75,119.75,37.35,Reference,,0,False,False,False,0.0,,-32.548314798245194,-0.7006445727117724,8.515234421351042
37.35_119.85,119.85,37.35,Reference,,0,False,False,False,27.28703678771853,0.0,-2.3013249670382634,-0.7006445727117724,0.774513567503476
37.35_119.95,119.95,37.35,Priority 4,A,1,False,False,True,90.46784452721477,0.0,12.095617259931114,-0.453193499839141,4.273516716537465
37.45_117.85,117.85,37.45,Reference,,0,False,False,False,98.15858604741604,1.0493223685011648,-0.8470143862374696,0.0592263297068845,79.41454695147226
37.45_117.95,117.95,37.45,Priority 4,A,1,False,False,True,98.15858604741604,0.3158154701314185,0.6008683545993813,0.5086348030119665,77.58567861683484
37.45_118.05,118.05,37.45,Priority 1b,PA,2,False,True,True,98.15858604741604,4.411228986029169,1.868367536004684,0.3213789764346899,76.73182035639597
37.45_118.15,118.15,37.45,Priority 1b,PA,2,False,True,True,98.15858604741604,4.502917348325387,1.8036783502842333,0.1939687900505836,70.48957518396341
37.45_118.25,118.25,37.45,Reference,,0,False,False,False,98.15858604741604,0.3565658533741822,-1.6172859355818867,0.2814333054006401,61.74081706871901
37.45_118.35,118.35,37.45,Priority 1b,PA,2,False,True,True,98.15858604741604,2.4755857819978937,1.7777065383467825,0.0851415878986775,53.01362320059504
37.45_118.45,118.45,37.45,Priority 1a,EPA,3,True,True,True,98.15858604741604,2.0171439705168024,3.620076203121225,1.4983850993235484,44.320734055750485
37.45_118.55,118.55,37.45,Priority 2,EA,2,True,False,True,98.15858604741604,0.652006131884219,1.923844416268182,1.741304373484393,35.6872268391746
37.45_118.65,118.65,37.45,Reference,E,1,True,False,False,98.15858604741604,0.7844448774232009,-1.0977799291417265,1.4121071864083197,27.16976852210932
37.45_118.75,118.75,37.45,Priority 4,A,1,False,False,True,98.15858604741604,0.6621937276949098,1.7502071931060657,0.5229041625118002,18.925695587314035
37.45_118.85,118.85,37.45,Reference,,0,False,False,False,98.15858604741604,0.5908805570200734,-3.3198632969877977,0.0273382909711323,11.555736896736745
37.45_118.95,118.95,37.45,Reference,,0,False,False,False,49.98781364783645,0.0,-16.77658878839836,-0.5580342958724801,8.01596075550386
37.45_119.05,119.05,37.45,Reference,,0,False,False,False,0.0,,-16.610159651193676,-0.7004641625195264,12.168215325514204
37.45_119.15,119.15,37.45,Priority 4,A,1,False,False,True,0.0,,0.4150997067768331,-0.6147637867315422,19.20706955848692
37.45_119.25,119.25,37.45,Priority 4,A,1,False,False,True,0.0,,4.030685863129949,0.4417440132364428,24.703231246310995
37.45_119.35,119.35,37.45,Reference,,0,False,False,False,0.0,,-1.0084002707905442,-0.1302227109327232,26.060201003520262
37.45_119.45,119.45,37.45,Priority 4,A,1,False,False,True,0.0,,0.3790389957528207,-0.1515771915637401,30.05638016334121
37.45_119.55,119.55,37.45,Priority 4,A,1,False,False,True,0.0,,1.252746763908132,-0.6471260932800393,28.67014636369194
37.45_119.65,119.65,37.45,Priority 4,A,1,False,False,True,0.0,,1.408651807676526,-0.6925060858801472,20.951937579444227
37.45_119.75,119.75,37.45,Reference,,0,False,False,False,0.0,,-2.371010693339141,-0.7005356406318,13.86033635790884
