gid,lat,lon,n_pumpjacks,grid_area_km2,pumpjack_density_km2,distance_to_nearest_pumpjack_km,distance_to_nearest_high_density_cluster_km,pumpjack_class
37.35_119.95,37.35,119.95,0,98.11564122599933,0.0,68.27170874437776,96.90416982097716,No-well
37.45_117.85,37.45,117.85,103,98.11564122599933,1.0497816526801274,3.5290465195478253,11.132000000000463,Q4
37.45_117.95,37.45,117.95,31,98.11564122599933,0.3159537012920771,1.528030798520147,8.813837695471943,Q4
37.45_118.05,37.45,118.05,437,98.11564122599933,4.453927982730249,0.1863400167224627,0.0,Q4
37.45_118.15,37.45,118.15,451,98.11564122599933,4.596616751055704,0.0576753639079227,0.0,Q4
37.45_118.25,37.45,118.25,35,98.11564122599933,0.3567219208136355,0.2799849166076469,8.813837695471943,Q4
37.45_118.35,37.45,118.35,246,98.11564122599933,2.5072455005758383,0.1297577642594825,0.0,Q4
37.45_118.45,37.45,118.45,200,98.11564122599933,2.038410976077917,1.1552125059181917,0.0,Q4
37.45_118.55,37.45,118.55,64,98.11564122599933,0.6522915123449335,2.601689042014034,8.813837695471943,Q4
37.45_118.65,37.45,118.65,77,98.11564122599933,0.7847882257899982,1.6023556730202952,11.132000000000463,Q4
37.45_118.75,37.45,118.75,65,98.11564122599933,0.6624835672253231,3.0258590384143864,14.198773148484786,Q4
37.45_118.85,37.45,118.85,58,98.11564122599933,0.591139183062596,1.757597421346568,20.84841393700008,Q4
37.45_118.95,37.45,118.95,0,98.11564122599933,0.0,7.7897925493313105,28.397546296969207,No-well
37.45_119.05,37.45,119.05,0,98.11564122599933,0.0,15.382289400691782,34.56644775355316,No-well
37.45_119.15,37.45,119.15,0,98.11564122599933,0.0,21.936539492034868,41.69682787400148,No-well
37.45_119.25,37.45,119.25,0,98.11564122599933,0.0,29.68461171059485,47.89026752575634,No-well
37.45_119.35,37.45,119.35,0,98.11564122599933,0.0,33.7109964278766,51.78702924767124,No-well
37.45_119.45,37.45,119.45,0,98.11564122599933,0.0,38.46003488422118,56.79509259393963,No-well
37.45_119.55,37.45,119.55,0,98.11564122599933,0.0,44.46667017300599,62.64851280799362,No-well
37.45_119.65,37.45,119.65,0,98.11564122599933,0.0,51.228340209283736,69.13289550710968,No-well
37.45_119.75,37.45,119.75,0,98.11564122599933,0.0,58.502643817636375,76.08709348624531,No-well
37.45_119.85,37.45,119.85,0,98.11564122599933,0.0,66.15242472164253,83.3936557480038,No-well
37.45_119.95,37.45,119.95,0,98.11564122599933,0.0,74.06142537985737,90.96771577154578,No-well
37.55_117.85,37.55,117.85,0,98.11564122599933,0.0,11.789902379485328,20.848413937000903,No-well
37.55_117.95,37.55,117.95,0,98.11564122599933,0.0,11.350284061943498,14.19877314848369,No-well
