replicate,method,mean_dxch4_ppb,n_days,n_high_grids,n_controls,mean_match_distance_km
214,latitude_stratified_random_hotspot,0.2501600737442049,934,38,165,13.69942372780618
215,latitude_stratified_random_hotspot,0.0868460425642724,891,38,162,14.387490079894274
216,latitude_stratified_random_hotspot,0.6406833648693536,920,38,169,13.0453984250764
217,latitude_stratified_random_hotspot,0.5184621043818455,843,38,167,14.384130458499648
218,latitude_stratified_random_hotspot,0.3052038715735776,859,38,166,13.33246852222664
219,latitude_stratified_random_hotspot,-0.1063414193645634,943,38,163,13.21470766139807
220,latitude_stratified_random_hotspot,0.0525656723019011,920,38,168,14.331380186999292
221,latitude_stratified_random_hotspot,-0.0196999941208839,886,38,166,13.733780448635391
222,latitude_stratified_random_hotspot,0.2274544597272671,901,38,166,14.935185414894772
223,latitude_stratified_random_hotspot,0.4269304131105248,887,38,159,12.698248692717616
224,latitude_stratified_random_hotspot,0.6367043153410031,850,38,164,13.822877764300433
225,latitude_stratified_random_hotspot,0.5967702656772668,918,38,165,14.394880804901376
226,latitude_stratified_random_hotspot,1.1064619606128254,799,38,170,13.735348974777429
227,latitude_stratified_random_hotspot,0.5760055353792143,882,38,163,12.983824222200589
228,latitude_stratified_random_hotspot,-1.5547947048975628,898,38,165,13.222560578775589
229,latitude_stratified_random_hotspot,0.2048715900882736,897,38,166,13.44608952440199
230,latitude_stratified_random_hotspot,0.8264462505030549,880,38,165,13.916805712673662
231,latitude_stratified_random_hotspot,0.2668144636705857,941,38,160,13.08778023000056
232,latitude_stratified_random_hotspot,1.2058091254124723,866,38,165,13.82563075657407
233,latitude_stratified_random_hotspot,0.1122499986480612,909,38,160,13.670704465559703
234,latitude_stratified_random_hotspot,0.559394782721825,889,38,167,13.447304517136976
235,latitude_stratified_random_hotspot,0.1157199472036858,934,38,168,14.242648083843932
236,latitude_stratified_random_hotspot,-0.0008590704680756,935,38,167,15.715917887010976
237,latitude_stratified_random_hotspot,-0.0192063066874093,912,38,164,13.52489650513934
238,latitude_stratified_random_hotspot,0.410805714277518,864,38,166,14.3811086530886
239,latitude_stratified_random_hotspot,0.8339050631985043,898,38,163,13.383975804921036
240,latitude_stratified_random_hotspot,1.6311950349635076,942,38,163,12.973512372864567
241,latitude_stratified_random_hotspot,0.9108522544089466,932,38,165,13.766131500089816
242,latitude_stratified_random_hotspot,0.3678203298255235,902,38,169,14.520952216539534
243,latitude_stratified_random_hotspot,1.0828080241472164,900,38,162,13.403319721339148
244,latitude_stratified_random_hotspot,0.0940878857290916,925,38,160,13.108592981571231
245,latitude_stratified_random_hotspot,-0.5573455858494625,893,38,167,13.183076329095927
246,latitude_stratified_random_hotspot,0.0142475497255494,883,38,165,12.670162369401504
247,latitude_stratified_random_hotspot,1.175811030413383,900,38,165,15.436244631580198
248,latitude_stratified_random_hotspot,0.2073574961308816,888,38,169,13.263268269629211
249,latitude_stratified_random_hotspot,0.6545832093493268,877,38,164,14.113647704089836
250,latitude_stratified_random_hotspot,-0.5772354305634848,820,38,166,13.84151973847153
251,latitude_stratified_random_hotspot,0.24952347336272,888,38,162,12.720016056313291
252,latitude_stratified_random_hotspot,0.6012511287087328,880,38,166,14.620559601763969
253,latitude_stratified_random_hotspot,-0.2811695519581255,878,38,166,13.29596597129488
254,latitude_stratified_random_hotspot,-0.1153622137336462,938,38,163,12.384075699419702
255,latitude_stratified_random_hotspot,-0.0069278735945178,924,38,164,13.997396199800576
256,latitude_stratified_random_hotspot,-0.5241085953975078,968,38,163,12.20591274174144
257,latitude_stratified_random_hotspot,0.2991108338048676,904,38,161,14.15741939601489
258,latitude_stratified_random_hotspot,1.2528840432470598,882,38,168,14.17546951715824
259,latitude_stratified_random_hotspot,-0.8328606966640493,918,38,163,14.888470923700318
260,latitude_stratified_random_hotspot,0.4171804942305216,915,38,164,14.163522909375024
261,latitude_stratified_random_hotspot,-0.0989444414683263,932,38,170,13.88367343089513
262,latitude_stratified_random_hotspot,0.3784626965615884,969,38,167,14.213875187916722
263,latitude_stratified_random_hotspot,-0.6677914051406255,892,38,164,12.65808756478964
264,latitude_stratified_random_hotspot,0.2876566113751914,889,38,165,13.484099178551784
265,latitude_stratified_random_hotspot,0.8084379955883874,904,38,168,13.34181299942733
266,latitude_stratified_random_hotspot,1.210625067124535,921,38,169,13.565857452487132
267,latitude_stratified_random_hotspot,1.358814553212492,950,38,166,14.274731513760702
268,latitude_stratified_random_hotspot,0.0461607096866493,926,38,165,15.016758850269332
269,latitude_stratified_random_hotspot,0.4452674056969403,920,38,169,14.350055747883944
270,latitude_stratified_random_hotspot,0.7325864794963347,934,38,166,14.893615307989805
271,latitude_stratified_random_hotspot,-0.3364939220625447,862,38,165,13.571738101383907
272,latitude_stratified_random_hotspot,0.636820004541512,932,38,164,16.167948941003885
273,latitude_stratified_random_hotspot,-0.1006785256702366,901,38,168,15.618762203090416
274,latitude_stratified_random_hotspot,-0.4410024449065811,879,38,166,13.096461091718735
275,latitude_stratified_random_hotspot,-0.0953219556755605,948,38,166,14.440002928663048
276,latitude_stratified_random_hotspot,0.7518676807924375,929,38,166,13.521397222965254
277,latitude_stratified_random_hotspot,-0.1775001219706397,935,38,167,15.254119598370798
278,latitude_stratified_random_hotspot,0.8871896633273652,927,38,162,13.905528065194757
279,latitude_stratified_random_hotspot,-0.757705306462249,910,38,162,12.513180544245287
280,latitude_stratified_random_hotspot,-0.2821488370488465,930,38,163,11.455684072887736
281,latitude_stratified_random_hotspot,-0.2719561128897271,874,38,166,13.134841350037552
282,latitude_stratified_random_hotspot,-0.1032696310520437,890,38,160,13.428020903044253
283,latitude_stratified_random_hotspot,0.9561491027454796,943,38,166,14.97916235979479
284,latitude_stratified_random_hotspot,0.314756178360319,900,38,162,13.911312278174856
285,latitude_stratified_random_hotspot,0.3550711519498483,940,38,163,14.446681212254092
286,latitude_stratified_random_hotspot,0.7613639881513156,882,38,164,14.996141981036285
287,latitude_stratified_random_hotspot,1.0686424083778887,901,38,166,13.838629880450156
288,latitude_stratified_random_hotspot,-0.083639669905723,934,38,165,13.946199367386958
289,latitude_stratified_random_hotspot,-1.5588556032770449,879,38,164,13.742150826126204
290,latitude_stratified_random_hotspot,1.4645138438695189,903,38,160,13.787886748955769
291,latitude_stratified_random_hotspot,0.700043259164459,914,38,166,14.192476665237336
292,latitude_stratified_random_hotspot,0.8272233142483897,908,38,172,13.185729134416803
293,latitude_stratified_random_hotspot,-0.0219076852735702,890,38,168,14.06195381546583
294,latitude_stratified_random_hotspot,0.0828819998787927,939,38,167,13.640539027736502
295,latitude_stratified_random_hotspot,0.1898664638701154,910,38,170,14.616122531335243
296,latitude_stratified_random_hotspot,-0.213031834071371,944,38,163,12.589614754843788
297,latitude_stratified_random_hotspot,-0.0875931722734506,889,38,159,12.85985459606864
298,latitude_stratified_random_hotspot,1.137780220058274,828,38,157,11.897459079603404
299,latitude_stratified_random_hotspot,0.1932883659885531,922,38,161,13.53948212073227
300,latitude_stratified_random_hotspot,-0.2068441146526947,893,38,168,13.335398962710448
301,latitude_stratified_random_hotspot,-0.5890143936735387,868,38,165,13.983580779953886
302,latitude_stratified_random_hotspot,-0.1068217327845813,888,38,172,13.588561649042296
303,latitude_stratified_random_hotspot,1.0552997982336256,929,38,162,13.01642266761144
304,latitude_stratified_random_hotspot,0.0543234982255181,918,38,160,14.606358543165792
